"material_id","category","matsynth_name","display_name","dominant_color","inference_prompt","license","source","source_url"
"0011","Ceramic","acg_tiles_043","Tiles 043","white","white ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Tiles043"
"0012","Ceramic","tc_tiles_067","Tiles 0067","beige","beige ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","texturecan","https://www.texturecan.com/"
"0013","Ceramic","st_tiling_006","Tiling 6","gray","gray ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","sharetextures","https://www.sharetexture.com/"
"0014","Ceramic","acg_tiles_028","Tiles 028","white","white ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Tiles028"
"0015","Ceramic","tc_tiles_041","Tiles 0041","cyan","cyan ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","texturecan","https://www.texturecan.com/"
"0016","Ceramic","st_ceramic_006","Ceramic 6","white","white ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","sharetextures","https://www.sharetexture.com/"
"0017","Ceramic","acg_tiles_024","Tiles 024","green","green ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Tiles024"
"0018","Ceramic","tc_tiles_033","Tiles 0033","gray","gray ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","texturecan","https://www.texturecan.com/"
"0019","Ceramic","acg_tiles_112","Tiles 112","white","white ceramic tile surface matching the visible reference color and pattern, low to moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Tiles112"
"0020","Concrete","acg_road_003","Road 003","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Road003"
"0021","Concrete","ms_concrete_032__moss_004","Concrete 032 X Moss 004","green","green concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","matsynth",""
"0022","Concrete","th_grass_concrete_pavement","Grass Concrete Pavement","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","textures_heaven","https://polyhaven.com/a/grass_concrete_pavement"
"0023","Concrete","acg_paving_stones_038","Paving Stones 038","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=PavingStones038"
"0024","Concrete","ms_concrete_005__moss_002","Concrete 005 X Moss 002","green","green concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","matsynth",""
"0025","Concrete","acg_asphalt_027_b","Asphalt 027 B","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Asphalt027B"
"0026","Concrete","acg_asphalt_009","Asphalt 009","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Asphalt009"
"0027","Concrete","acg_concrete_031","Concrete 031","gray","gray concrete surface matching the visible reference color and pattern, rough diffuse finish and moderate relief","CC0","ambientcg","https://www.ambientcg.com/view?id=Concrete031"
